NAME,Total Households,Total Households with No Vehicle Available,Total Households with 1 Vehicle Available,Total Households with 2 Vehicles Available,Total Households with 3 Vehicles Available,Total Households with 4 or More Vehicles Available,Total 1-Person Households,1-Person Households with No Vehicle Available,1-Person Households with 1 Vehicle Available,1-Person Households with 2 Vehicles Available,1-Person Households with 3 Vehicles Available,1-Person Households with 4 or More Vehicles Available,Total 2-Person Households,2-Person Households with No Vehicle Available,2-Person Households with 1 Vehicle Available,2-Person Households with 2 Vehicles Available,2-Person Households with 3 Vehicles Available,2-Person Households with 4 or More Vehicles Available,Total 3-Person Households,3-Person Households with No Vehicle Available,3-Person Households with 1 Vehicle Available,3-Person Households with 2 Vehicles Available,3-Person Households with 3 Vehicles Available,3-Person Households with 4 or More Vehicles Available,Total 4-or-More-Person Households,4-or-More-Person Households with No Vehicle Available,4-or-More-Person Households with 1 Vehicle Available,4-or-More-Person Households with 2 Vehicles Available,4-or-More-Person Households with 3 Vehicles Available,state,county,tract,Census Tract,County,pct_no_vehicle,pct_fewer_vehicles
Census Tract 9301.02; Surry County; North Carolina,1794.0,76.0,252.0,752.0,312.0,402.0,403.0,49.0,221.0,118.0,15.0,0.0,778.0,19.0,31.0,358.0,194.0,176.0,271.0,8.0,0.0,114.0,45.0,104.0,342.0,0.0,0.0,162.0,58.0,37,171,930102,9301.02,Surry County,4.23634336677815,21.348940914158305
Census Tract 9302.01; Surry County; North Carolina,1278.0,43.0,460.0,453.0,186.0,136.0,399.0,17.0,287.0,42.0,33.0,20.0,404.0,26.0,71.0,211.0,34.0,62.0,286.0,0.0,66.0,144.0,63.0,13.0,189.0,0.0,36.0,56.0,56.0,37,171,930201,9302.01,Surry County,3.3646322378716746,32.550860719874805
Census Tract 9302.02; Surry County; North Carolina,1487.0,15.0,397.0,633.0,301.0,141.0,332.0,15.0,152.0,133.0,32.0,0.0,538.0,0.0,80.0,261.0,111.0,86.0,390.0,0.0,147.0,104.0,131.0,8.0,227.0,0.0,18.0,135.0,27.0,37,171,930202,9302.02,Surry County,1.0087424344317417,33.55749831876261
Census Tract 9303.01; Surry County; North Carolina,832.0,59.0,155.0,222.0,270.0,126.0,269.0,59.0,122.0,63.0,22.0,3.0,278.0,0.0,26.0,114.0,109.0,29.0,164.0,0.0,7.0,25.0,77.0,55.0,121.0,0.0,0.0,20.0,62.0,37,171,930301,9303.01,Surry County,7.091346153846153,16.466346153846153
Census Tract 9303.02; Surry County; North Carolina,1559.0,104.0,488.0,642.0,235.0,90.0,473.0,92.0,299.0,71.0,0.0,11.0,596.0,0.0,119.0,402.0,64.0,11.0,250.0,11.0,70.0,134.0,25.0,10.0,240.0,1.0,0.0,35.0,146.0,37,171,930302,9303.02,Surry County,6.670942912123155,29.634381013470172
Census Tract 9304; Surry County; North Carolina,1324.0,235.0,649.0,269.0,149.0,22.0,859.0,134.0,489.0,165.0,71.0,0.0,305.0,44.0,111.0,94.0,48.0,8.0,24.0,14.0,0.0,10.0,0.0,0.0,136.0,43.0,49.0,0.0,30.0,37,171,930400,9304,Surry County,17.749244712990937,30.589123867069485
Census Tract 9305.01; Surry County; North Carolina,1228.0,11.0,431.0,352.0,264.0,170.0,250.0,11.0,145.0,65.0,17.0,12.0,298.0,0.0,19.0,183.0,73.0,23.0,467.0,0.0,254.0,54.0,131.0,28.0,213.0,0.0,13.0,50.0,43.0,37,171,930501,9305.01,Surry County,0.8957654723127036,32.65472312703583
Census Tract 9305.02; Surry County; North Carolina,1292.0,73.0,466.0,443.0,182.0,128.0,447.0,40.0,308.0,65.0,0.0,34.0,469.0,33.0,88.0,229.0,95.0,24.0,125.0,0.0,0.0,84.0,37.0,4.0,251.0,0.0,70.0,65.0,50.0,37,171,930502,9305.02,Surry County,5.65015479876161,29.41176470588235
Census Tract 9306; Surry County; North Carolina,1375.0,55.0,523.0,404.0,238.0,155.0,451.0,44.0,316.0,81.0,10.0,0.0,521.0,0.0,124.0,220.0,93.0,84.0,185.0,11.0,67.0,51.0,41.0,15.0,218.0,0.0,16.0,52.0,94.0,37,171,930600,9306,Surry County,4.0,26.545454545454547
Census Tract 9307; Surry County; North Carolina,1570.0,47.0,242.0,615.0,374.0,292.0,367.0,28.0,120.0,186.0,21.0,12.0,592.0,0.0,74.0,344.0,133.0,41.0,278.0,0.0,6.0,69.0,129.0,74.0,333.0,19.0,42.0,16.0,91.0,37,171,930700,9307,Surry County,2.993630573248408,16.178343949044585
Census Tract 9308.02; Surry County; North Carolina,1135.0,13.0,276.0,410.0,263.0,173.0,332.0,6.0,198.0,57.0,47.0,24.0,406.0,7.0,39.0,209.0,70.0,81.0,198.0,0.0,16.0,44.0,133.0,5.0,199.0,0.0,23.0,100.0,13.0,37,171,930802,9308.02,Surry County,1.145374449339207,20.704845814977972
Census Tract 9308.03; Surry County; North Carolina,922.0,46.0,166.0,144.0,439.0,127.0,192.0,36.0,75.0,19.0,53.0,9.0,464.0,10.0,29.0,46.0,291.0,88.0,76.0,0.0,23.0,28.0,18.0,7.0,190.0,0.0,39.0,51.0,77.0,37,171,930803,9308.03,Surry County,4.989154013015185,23.427331887201735
Census Tract 9308.04; Surry County; North Carolina,1123.0,49.0,416.0,312.0,185.0,161.0,229.0,28.0,146.0,23.0,32.0,0.0,492.0,0.0,219.0,196.0,50.0,27.0,172.0,0.0,17.0,22.0,62.0,71.0,230.0,21.0,34.0,71.0,41.0,37,171,930804,9308.04,Surry County,4.363312555654497,36.68744434550312
Census Tract 9309.01; Surry County; North Carolina,1607.0,52.0,601.0,710.0,187.0,57.0,566.0,52.0,378.0,96.0,40.0,0.0,614.0,0.0,153.0,418.0,43.0,0.0,178.0,0.0,14.0,96.0,59.0,9.0,249.0,0.0,56.0,100.0,45.0,37,171,930901,9309.01,Surry County,3.2358431860609835,29.309271935283135
Census Tract 9309.02; Surry County; North Carolina,730.0,7.0,234.0,259.0,145.0,85.0,217.0,7.0,118.0,67.0,16.0,9.0,276.0,0.0,71.0,105.0,72.0,28.0,138.0,0.0,45.0,36.0,40.0,17.0,99.0,0.0,0.0,51.0,17.0,37,171,930902,9309.02,Surry County,0.9589041095890412,28.767123287671232
Census Tract 9310.01; Surry County; North Carolina,1037.0,64.0,243.0,363.0,238.0,129.0,299.0,50.0,168.0,81.0,0.0,0.0,350.0,10.0,47.0,186.0,62.0,45.0,159.0,0.0,0.0,19.0,107.0,33.0,229.0,4.0,28.0,77.0,69.0,37,171,931001,9310.01,Surry County,6.171648987463838,22.66152362584378
Census Tract 9310.02; Surry County; North Carolina,1706.0,97.0,391.0,482.0,493.0,243.0,504.0,86.0,275.0,129.0,14.0,0.0,452.0,5.0,46.0,178.0,150.0,73.0,219.0,6.0,49.0,82.0,68.0,14.0,531.0,0.0,21.0,93.0,261.0,37,171,931002,9310.02,Surry County,5.685814771395076,22.743259085580306
Census Tract 9310.03; Surry County; North Carolina,1147.0,100.0,284.0,339.0,189.0,235.0,203.0,8.0,152.0,43.0,0.0,0.0,388.0,92.0,37.0,112.0,89.0,58.0,306.0,0.0,95.0,96.0,37.0,78.0,250.0,0.0,0.0,88.0,63.0,37,171,931003,9310.03,Surry County,8.718395815170009,36.26852659110724
Census Tract 9311.01; Surry County; North Carolina,1195.0,126.0,279.0,383.0,302.0,105.0,307.0,33.0,131.0,81.0,51.0,11.0,549.0,93.0,124.0,221.0,89.0,22.0,145.0,0.0,0.0,38.0,104.0,3.0,194.0,0.0,24.0,43.0,58.0,37,171,931101,9311.01,Surry County,10.543933054393305,29.707112970711297
Census Tract 9311.02; Surry County; North Carolina,1583.0,7.0,512.0,340.0,259.0,465.0,523.0,0.0,367.0,86.0,43.0,27.0,531.0,0.0,124.0,147.0,144.0,116.0,174.0,7.0,21.0,59.0,0.0,87.0,355.0,0.0,0.0,48.0,72.0,37,171,931102,9311.02,Surry County,0.4421983575489577,16.361339229311433
Census Tract 9311.03; Surry County; North Carolina,843.0,57.0,127.0,233.0,301.0,125.0,150.0,12.0,51.0,67.0,15.0,5.0,434.0,45.0,33.0,114.0,209.0,33.0,100.0,0.0,0.0,28.0,43.0,29.0,159.0,0.0,43.0,24.0,34.0,37,171,931103,9311.03,Surry County,6.761565836298933,21.945432977461447
Census Tract 9312; Surry County; North Carolina,1658.0,45.0,545.0,535.0,277.0,256.0,526.0,35.0,312.0,157.0,9.0,13.0,560.0,0.0,165.0,219.0,113.0,63.0,264.0,8.0,61.0,112.0,33.0,50.0,308.0,2.0,7.0,47.0,122.0,37,171,931200,9312,Surry County,2.714113389626055,26.35705669481303
Census Tract 301; Randolph County; North Carolina,1992.0,123.0,945.0,466.0,386.0,72.0,993.0,118.0,659.0,162.0,54.0,0.0,591.0,0.0,163.0,214.0,160.0,54.0,154.0,5.0,82.0,37.0,30.0,0.0,254.0,0.0,41.0,53.0,142.0,37,151,030100,301,Randolph County,6.174698795180722,25.050200803212853
Census Tract 302.01; Randolph County; North Carolina,1635.0,116.0,839.0,447.0,182.0,51.0,591.0,45.0,453.0,93.0,0.0,0.0,666.0,58.0,323.0,195.0,90.0,0.0,184.0,13.0,59.0,58.0,45.0,9.0,194.0,0.0,4.0,101.0,47.0,37,151,030201,302.01,Randolph County,7.09480122324159,40.428134556574925
Census Tract 302.02; Randolph County; North Carolina,2029.0,72.0,694.0,595.0,388.0,280.0,712.0,64.0,463.0,150.0,0.0,35.0,539.0,0.0,146.0,173.0,142.0,78.0,154.0,8.0,52.0,67.0,27.0,0.0,624.0,0.0,33.0,205.0,219.0,37,151,030202,302.02,Randolph County,3.548546081813701,28.3390832922622
Census Tract 303.01; Randolph County; North Carolina,2587.0,90.0,1208.0,693.0,456.0,140.0,1006.0,51.0,732.0,223.0,0.0,0.0,702.0,39.0,209.0,262.0,128.0,64.0,421.0,0.0,207.0,61.0,153.0,0.0,458.0,0.0,60.0,147.0,175.0,37,151,030301,303.01,Randolph County,3.478933127174333,29.918824893699266
Census Tract 303.02; Randolph County; North Carolina,1174.0,135.0,519.0,159.0,216.0,145.0,249.0,37.0,161.0,16.0,0.0,35.0,201.0,15.0,88.0,76.0,15.0,7.0,280.0,83.0,129.0,44.0,0.0,24.0,444.0,0.0,141.0,23.0,201.0,37,151,030302,303.02,Randolph County,11.499148211243613,47.700170357751276
Census Tract 304; Randolph County; North Carolina,2030.0,206.0,725.0,708.0,298.0,93.0,775.0,171.0,434.0,150.0,0.0,20.0,376.0,13.0,123.0,196.0,31.0,13.0,222.0,22.0,90.0,62.0,21.0,27.0,657.0,0.0,78.0,300.0,246.0,37,151,030400,304,Randolph County,10.147783251231528,42.31527093596059
Census Tract 305.02; Randolph County; North Carolina,1918.0,20.0,442.0,685.0,524.0,247.0,443.0,0.0,280.0,117.0,46.0,0.0,710.0,20.0,99.0,330.0,165.0,96.0,253.0,0.0,63.0,41.0,75.0,74.0,512.0,0.0,0.0,197.0,238.0,37,151,030502,305.02,Randolph County,1.0427528675703857,21.8978102189781
Census Tract 305.03; Randolph County; North Carolina,1919.0,45.0,308.0,695.0,574.0,297.0,445.0,31.0,194.0,176.0,44.0,0.0,610.0,14.0,21.0,329.0,193.0,53.0,419.0,0.0,17.0,175.0,217.0,10.0,445.0,0.0,76.0,15.0,120.0,37,151,030503,305.03,Randolph County,2.344971339239187,18.18655549765503
Census Tract 305.04; Randolph County; North Carolina,2372.0,85.0,499.0,853.0,504.0,431.0,555.0,51.0,298.0,192.0,14.0,0.0,943.0,14.0,111.0,507.0,202.0,109.0,354.0,20.0,20.0,0.0,170.0,144.0,520.0,0.0,70.0,154.0,118.0,37,151,030504,305.04,Randolph County,3.583473861720068,18.54974704890388
Census Tract 306; Randolph County; North Carolina,2790.0,125.0,757.0,890.0,631.0,387.0,864.0,82.0,512.0,223.0,33.0,14.0,1045.0,43.0,79.0,473.0,247.0,203.0,326.0,0.0,108.0,28.0,150.0,40.0,555.0,0.0,58.0,166.0,201.0,37,151,030600,306,Randolph County,4.480286738351254,20.21505376344086
Census Tract 307; Randolph County; North Carolina,2528.0,72.0,425.0,875.0,809.0,347.0,427.0,34.0,178.0,141.0,37.0,37.0,1236.0,38.0,144.0,618.0,250.0,186.0,398.0,0.0,20.0,63.0,292.0,23.0,467.0,0.0,83.0,53.0,230.0,37,151,030700,307,Randolph County,2.848101265822785,17.207278481012658
Census Tract 308.03; Randolph County; North Carolina,1457.0,28.0,334.0,599.0,304.0,192.0,491.0,28.0,240.0,137.0,32.0,54.0,530.0,0.0,43.0,315.0,144.0,28.0,136.0,0.0,14.0,52.0,55.0,15.0,300.0,0.0,37.0,95.0,73.0,37,151,030803,308.03,Randolph County,1.9217570350034316,18.462594371997255
Census Tract 308.04; Randolph County; North Carolina,1197.0,29.0,327.0,452.0,327.0,62.0,567.0,22.0,308.0,218.0,4.0,15.0,313.0,7.0,0.0,128.0,133.0,45.0,144.0,0.0,0.0,93.0,49.0,2.0,173.0,0.0,19.0,13.0,141.0,37,151,030804,308.04,Randolph County,2.4227234753550544,12.865497076023392
Census Tract 308.05; Randolph County; North Carolina,1478.0,0.0,360.0,467.0,437.0,214.0,204.0,0.0,124.0,49.0,31.0,0.0,579.0,0.0,136.0,280.0,75.0,88.0,395.0,0.0,100.0,66.0,193.0,36.0,300.0,0.0,0.0,72.0,138.0,37,151,030805,308.05,Randolph County,0.0,25.30446549391069
Census Tract 308.06; Randolph County; North Carolina,1149.0,10.0,346.0,406.0,186.0,201.0,239.0,10.0,87.0,119.0,0.0,23.0,324.0,0.0,76.0,131.0,66.0,51.0,219.0,0.0,9.0,76.0,65.0,69.0,367.0,0.0,174.0,80.0,55.0,37,151,030806,308.06,Randolph County,0.8703220191470844,36.98868581375109
Census Tract 309; Randolph County; North Carolina,1647.0,0.0,209.0,745.0,347.0,346.0,394.0,0.0,164.0,152.0,16.0,62.0,594.0,0.0,45.0,255.0,210.0,84.0,248.0,0.0,0.0,67.0,82.0,99.0,411.0,0.0,0.0,271.0,39.0,37,151,030900,309,Randolph County,0.0,23.254401942926535
Census Tract 310.01; Randolph County; North Carolina,1201.0,66.0,208.0,499.0,305.0,123.0,242.0,6.0,106.0,128.0,0.0,2.0,412.0,60.0,89.0,119.0,140.0,4.0,238.0,0.0,4.0,52.0,85.0,97.0,309.0,0.0,9.0,200.0,80.0,37,151,031001,310.01,Randolph County,5.495420482930891,34.970857618651124
Census Tract 310.02; Randolph County; North Carolina,1487.0,13.0,307.0,528.0,329.0,310.0,347.0,7.0,223.0,64.0,52.0,1.0,452.0,6.0,43.0,227.0,69.0,107.0,284.0,0.0,41.0,39.0,89.0,115.0,404.0,0.0,0.0,198.0,119.0,37,151,031002,310.02,Randolph County,0.8742434431741762,22.46133154001345
Census Tract 311.01; Randolph County; North Carolina,1141.0,11.0,171.0,429.0,240.0,290.0,131.0,11.0,80.0,33.0,0.0,7.0,500.0,0.0,51.0,251.0,111.0,87.0,292.0,0.0,40.0,126.0,114.0,12.0,218.0,0.0,0.0,19.0,15.0,37,151,031101,311.01,Randolph County,0.9640666082383873,21.647677475898334
Census Tract 311.02; Randolph County; North Carolina,867.0,3.0,180.0,364.0,209.0,111.0,155.0,0.0,58.0,62.0,19.0,16.0,267.0,3.0,49.0,131.0,40.0,44.0,107.0,0.0,17.0,68.0,22.0,0.0,338.0,0.0,56.0,103.0,128.0,37,151,031102,311.02,Randolph County,0.34602076124567477,34.14071510957324
Census Tract 312; Randolph County; North Carolina,2158.0,92.0,609.0,765.0,402.0,290.0,726.0,92.0,393.0,198.0,43.0,0.0,685.0,0.0,58.0,345.0,197.0,85.0,293.0,0.0,110.0,66.0,50.0,67.0,454.0,0.0,48.0,156.0,112.0,37,151,031200,312,Randolph County,4.263206672845228,24.559777571825766
Census Tract 313.03; Randolph County; North Carolina,1808.0,53.0,393.0,649.0,380.0,333.0,570.0,31.0,285.0,151.0,103.0,0.0,560.0,15.0,58.0,259.0,167.0,61.0,212.0,7.0,22.0,71.0,78.0,34.0,466.0,0.0,28.0,168.0,32.0,37,151,031303,313.03,Randolph County,2.9314159292035398,22.123893805309734
Census Tract 313.04; Randolph County; North Carolina,1844.0,15.0,392.0,783.0,341.0,313.0,596.0,15.0,281.0,128.0,91.0,81.0,750.0,0.0,111.0,427.0,62.0,150.0,171.0,0.0,0.0,112.0,38.0,21.0,327.0,0.0,0.0,116.0,150.0,37,151,031304,313.04,Randolph County,0.8134490238611713,19.197396963123644
Census Tract 313.05; Randolph County; North Carolina,1590.0,21.0,372.0,492.0,400.0,305.0,235.0,0.0,120.0,98.0,17.0,0.0,541.0,21.0,136.0,241.0,58.0,85.0,302.0,0.0,45.0,116.0,92.0,49.0,512.0,0.0,71.0,37.0,233.0,37,151,031305,313.05,Randolph County,1.3207547169811322,26.79245283018868
Census Tract 313.07; Randolph County; North Carolina,1548.0,0.0,342.0,399.0,497.0,310.0,336.0,0.0,263.0,32.0,7.0,34.0,511.0,0.0,10.0,116.0,258.0,127.0,344.0,0.0,43.0,77.0,155.0,69.0,357.0,0.0,26.0,174.0,77.0,37,151,031307,313.07,Randolph County,0.0,21.31782945736434
Census Tract 313.08; Randolph County; North Carolina,1059.0,112.0,229.0,342.0,300.0,76.0,350.0,66.0,136.0,46.0,102.0,0.0,360.0,46.0,49.0,188.0,58.0,19.0,117.0,0.0,0.0,52.0,34.0,31.0,232.0,0.0,44.0,56.0,106.0,37,151,031308,313.08,Randolph County,10.576015108593012,29.5561850802644
Census Tract 314.01; Randolph County; North Carolina,1989.0,129.0,550.0,734.0,466.0,110.0,708.0,129.0,378.0,116.0,85.0,0.0,648.0,0.0,86.0,310.0,232.0,20.0,215.0,0.0,0.0,122.0,32.0,61.0,418.0,0.0,86.0,186.0,117.0,37,151,031401,314.01,Randolph County,6.485671191553545,30.618401206636502
Census Tract 314.02; Randolph County; North Carolina,1318.0,73.0,371.0,551.0,286.0,37.0,346.0,15.0,244.0,87.0,0.0,0.0,488.0,0.0,109.0,274.0,73.0,32.0,191.0,7.0,18.0,49.0,112.0,5.0,293.0,51.0,0.0,141.0,101.0,37,151,031402,314.02,Randolph County,5.538694992412747,29.590288315629742
Census Tract 315.01; Randolph County; North Carolina,2054.0,10.0,502.0,689.0,355.0,498.0,486.0,10.0,354.0,108.0,14.0,0.0,739.0,0.0,76.0,277.0,182.0,204.0,238.0,0.0,19.0,177.0,29.0,13.0,591.0,0.0,53.0,127.0,130.0,37,151,031501,315.01,Randolph County,0.4868549172346641,22.49269717624148
Census Tract 315.03; Randolph County; North Carolina,1271.0,25.0,537.0,437.0,199.0,73.0,456.0,25.0,365.0,38.0,13.0,15.0,577.0,0.0,108.0,289.0,155.0,25.0,69.0,0.0,15.0,45.0,9.0,0.0,169.0,0.0,49.0,65.0,22.0,37,151,031503,315.03,Randolph County,1.9669551534225018,24.154209284028322
Census Tract 315.04; Randolph County; North Carolina,2238.0,20.0,555.0,831.0,567.0,265.0,485.0,0.0,386.0,35.0,0.0,64.0,836.0,0.0,128.0,542.0,76.0,90.0,556.0,20.0,16.0,26.0,461.0,33.0,361.0,0.0,25.0,228.0,30.0,37,151,031504,315.04,Randolph County,0.8936550491510277,19.794459338695262
Census Tract 315.05; Randolph County; North Carolina,1381.0,136.0,250.0,381.0,435.0,179.0,332.0,121.0,141.0,42.0,10.0,18.0,573.0,0.0,37.0,147.0,341.0,48.0,199.0,15.0,21.0,62.0,46.0,55.0,277.0,0.0,51.0,130.0,38.0,37,151,031505,315.05,Randolph County,9.847936278059377,31.643736422881968
Census Tract 316.01; Randolph County; North Carolina,1550.0,34.0,632.0,617.0,143.0,124.0,509.0,6.0,448.0,53.0,2.0,0.0,534.0,5.0,103.0,290.0,98.0,38.0,158.0,23.0,12.0,94.0,21.0,8.0,349.0,0.0,69.0,180.0,22.0,37,151,031601,316.01,Randolph County,2.193548387096774,31.741935483870968
Census Tract 316.02; Randolph County; North Carolina,564.0,8.0,201.0,247.0,45.0,63.0,152.0,8.0,122.0,22.0,0.0,0.0,176.0,0.0,33.0,112.0,26.0,5.0,124.0,0.0,19.0,57.0,9.0,39.0,112.0,0.0,27.0,56.0,10.0,37,151,031602,316.02,Randolph County,1.4184397163120568,35.46099290780142
Census Tract 601.01; Davidson County; North Carolina,2586.0,126.0,1149.0,741.0,508.0,62.0,1013.0,75.0,793.0,32.0,112.0,1.0,555.0,51.0,120.0,357.0,27.0,0.0,571.0,0.0,176.0,157.0,238.0,0.0,447.0,0.0,60.0,195.0,131.0,37,057,060101,601.01,Davidson County,4.872389791183294,32.25058004640371
Census Tract 601.03; Davidson County; North Carolina,1132.0,0.0,254.0,390.0,285.0,203.0,336.0,0.0,221.0,95.0,7.0,13.0,381.0,0.0,33.0,179.0,141.0,28.0,188.0,0.0,0.0,42.0,93.0,53.0,227.0,0.0,0.0,74.0,44.0,37,057,060103,601.03,Davidson County,0.0,13.162544169611307
Census Tract 601.04; Davidson County; North Carolina,2226.0,0.0,354.0,782.0,801.0,289.0,341.0,0.0,239.0,97.0,5.0,0.0,1001.0,0.0,73.0,450.0,333.0,145.0,393.0,0.0,17.0,143.0,172.0,61.0,491.0,0.0,25.0,92.0,291.0,37,057,060104,601.04,Davidson County,0.0,15.723270440251572
Census Tract 602.01; Davidson County; North Carolina,1664.0,90.0,263.0,363.0,627.0,321.0,360.0,18.0,184.0,95.0,63.0,0.0,701.0,72.0,43.0,242.0,212.0,132.0,392.0,0.0,11.0,14.0,241.0,126.0,211.0,0.0,25.0,12.0,111.0,37,057,060201,602.01,Davidson County,5.408653846153847,11.71875
Census Tract 602.02; Davidson County; North Carolina,971.0,57.0,122.0,404.0,235.0,153.0,211.0,40.0,80.0,68.0,23.0,0.0,460.0,17.0,37.0,240.0,109.0,57.0,71.0,0.0,5.0,29.0,26.0,11.0,229.0,0.0,0.0,67.0,77.0,37,057,060202,602.02,Davidson County,5.8702368692070035,20.082389289392378
Census Tract 602.03; Davidson County; North Carolina,2489.0,31.0,406.0,1153.0,398.0,501.0,486.0,14.0,285.0,170.0,17.0,0.0,993.0,17.0,40.0,450.0,283.0,203.0,506.0,0.0,66.0,268.0,60.0,112.0,504.0,0.0,15.0,265.0,38.0,37,057,060203,602.03,Davidson County,1.245480112494978,27.52109280835677
Census Tract 603.01; Davidson County; North Carolina,2149.0,63.0,474.0,942.0,423.0,247.0,738.0,63.0,373.0,249.0,21.0,32.0,772.0,0.0,101.0,480.0,169.0,22.0,188.0,0.0,0.0,24.0,131.0,33.0,451.0,0.0,0.0,189.0,102.0,37,057,060301,603.01,Davidson County,2.9315960912052117,17.5430432759423
Census Tract 603.02; Davidson County; North Carolina,2054.0,51.0,595.0,884.0,387.0,137.0,561.0,16.0,395.0,126.0,24.0,0.0,919.0,25.0,176.0,481.0,186.0,51.0,134.0,0.0,16.0,58.0,36.0,24.0,440.0,10.0,8.0,219.0,141.0,37,057,060302,603.02,Davidson County,2.4829600778967866,25.70593962999026
Census Tract 603.03; Davidson County; North Carolina,1897.0,25.0,435.0,729.0,422.0,286.0,651.0,22.0,378.0,196.0,46.0,9.0,691.0,0.0,49.0,334.0,160.0,148.0,249.0,0.0,0.0,50.0,152.0,47.0,306.0,3.0,8.0,149.0,64.0,37,057,060303,603.03,Davidson County,1.3178703215603584,14.81286241433843
Census Tract 603.04; Davidson County; North Carolina,1344.0,0.0,275.0,561.0,360.0,148.0,226.0,0.0,163.0,60.0,3.0,0.0,589.0,0.0,92.0,313.0,150.0,34.0,227.0,0.0,17.0,67.0,94.0,49.0,302.0,0.0,3.0,121.0,113.0,37,057,060304,603.04,Davidson County,0.0,22.321428571428573
Census Tract 604; Davidson County; North Carolina,2046.0,119.0,314.0,667.0,442.0,504.0,429.0,90.0,155.0,184.0,0.0,0.0,768.0,21.0,51.0,313.0,268.0,115.0,427.0,8.0,108.0,137.0,64.0,110.0,422.0,0.0,0.0,33.0,110.0,37,057,060400,604,Davidson County,5.816226783968719,21.896383186705766
Census Tract 605; Davidson County; North Carolina,2477.0,108.0,702.0,601.0,683.0,383.0,743.0,68.0,421.0,169.0,85.0,0.0,775.0,40.0,63.0,301.0,243.0,128.0,574.0,0.0,170.0,115.0,187.0,102.0,385.0,0.0,48.0,16.0,168.0,37,057,060500,605,Davidson County,4.360113039967703,20.993136859103753
Census Tract 606.01; Davidson County; North Carolina,1611.0,14.0,255.0,773.0,258.0,311.0,209.0,0.0,147.0,50.0,12.0,0.0,648.0,14.0,94.0,371.0,81.0,88.0,288.0,0.0,0.0,130.0,115.0,43.0,466.0,0.0,14.0,222.0,50.0,37,057,060601,606.01,Davidson County,0.8690254500310366,29.422718808193668
Census Tract 606.02; Davidson County; North Carolina,1305.0,63.0,254.0,504.0,344.0,140.0,226.0,0.0,156.0,59.0,0.0,11.0,504.0,55.0,64.0,279.0,80.0,26.0,325.0,0.0,19.0,110.0,162.0,34.0,250.0,8.0,15.0,56.0,102.0,37,057,060602,606.02,Davidson County,4.827586206896552,25.057471264367816
Census Tract 607; Davidson County; North Carolina,2271.0,94.0,494.0,1072.0,417.0,194.0,563.0,16.0,285.0,235.0,27.0,0.0,760.0,78.0,139.0,395.0,148.0,0.0,297.0,0.0,0.0,168.0,107.0,22.0,651.0,0.0,70.0,274.0,135.0,37,057,060700,607,Davidson County,4.139145750770585,32.80493174812858
Census Tract 608; Davidson County; North Carolina,1838.0,114.0,813.0,494.0,266.0,151.0,540.0,62.0,275.0,179.0,0.0,24.0,681.0,39.0,314.0,208.0,85.0,35.0,254.0,5.0,127.0,31.0,16.0,75.0,363.0,8.0,97.0,76.0,165.0,37,057,060800,608,Davidson County,6.2023939064200215,41.29488574537541
Census Tract 609; Davidson County; North Carolina,1920.0,117.0,502.0,860.0,329.0,112.0,561.0,99.0,323.0,95.0,0.0,44.0,719.0,18.0,157.0,451.0,51.0,42.0,530.0,0.0,22.0,257.0,251.0,0.0,110.0,0.0,0.0,57.0,27.0,37,057,060900,609,Davidson County,6.09375,31.770833333333332
Census Tract 610; Davidson County; North Carolina,2099.0,125.0,661.0,875.0,306.0,132.0,766.0,72.0,483.0,192.0,19.0,0.0,569.0,0.0,124.0,382.0,47.0,16.0,376.0,53.0,54.0,187.0,52.0,30.0,388.0,0.0,0.0,114.0,188.0,37,057,061000,610,Davidson County,5.955216769890424,28.77560743211053
Census Tract 611.01; Davidson County; North Carolina,1117.0,24.0,421.0,366.0,140.0,166.0,401.0,24.0,325.0,52.0,0.0,0.0,406.0,0.0,50.0,159.0,133.0,64.0,133.0,0.0,34.0,73.0,7.0,19.0,177.0,0.0,12.0,82.0,0.0,37,057,061101,611.01,Davidson County,2.1486123545210387,24.619516562220234
Census Tract 611.02; Davidson County; North Carolina,2045.0,11.0,436.0,968.0,429.0,201.0,461.0,0.0,315.0,146.0,0.0,0.0,841.0,11.0,52.0,485.0,157.0,136.0,347.0,0.0,0.0,164.0,157.0,26.0,396.0,0.0,69.0,173.0,115.0,37,057,061102,611.02,Davidson County,0.5378973105134475,22.933985330073348
Census Tract 612.02; Davidson County; North Carolina,1242.0,38.0,303.0,492.0,294.0,115.0,349.0,38.0,234.0,46.0,24.0,7.0,440.0,0.0,32.0,223.0,139.0,46.0,276.0,0.0,25.0,149.0,84.0,18.0,177.0,0.0,12.0,74.0,47.0,37,057,061202,612.02,Davidson County,3.059581320450886,26.570048309178745
Census Tract 612.03; Davidson County; North Carolina,1841.0,118.0,529.0,760.0,183.0,251.0,488.0,80.0,362.0,46.0,0.0,0.0,741.0,0.0,99.0,548.0,62.0,32.0,209.0,38.0,11.0,44.0,21.0,95.0,403.0,0.0,57.0,122.0,100.0,37,057,061203,612.03,Davidson County,6.409560021727321,24.497555676262902
