NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 115.06; Catawba County; North Carolina,3727.0,246.0,0.0,0.0,27.0,134.0,66.0,0.0,19.0,37,35,115.06,Catawba County
Census Tract 116.01; Catawba County; North Carolina,4411.0,694.0,89.0,43.0,0.0,412.0,134.0,16.0,0.0,37,35,116.01,Catawba County
Census Tract 116.02; Catawba County; North Carolina,5348.0,579.0,147.0,30.0,0.0,358.0,14.0,30.0,0.0,37,35,116.02,Catawba County
Census Tract 117.01; Catawba County; North Carolina,4803.0,391.0,0.0,0.0,39.0,213.0,45.0,70.0,24.0,37,35,117.01,Catawba County
Census Tract 117.02; Catawba County; North Carolina,7063.0,505.0,91.0,74.0,51.0,155.0,73.0,61.0,0.0,37,35,117.02,Catawba County
Census Tract 118.01; Catawba County; North Carolina,6058.0,175.0,0.0,0.0,0.0,21.0,94.0,39.0,21.0,37,35,118.01,Catawba County
Census Tract 118.02; Catawba County; North Carolina,5673.0,556.0,0.0,15.0,151.0,303.0,50.0,0.0,37.0,37,35,118.02,Catawba County
Census Tract 201.03; Chatham County; North Carolina,5498.0,98.0,3.0,0.0,0.0,69.0,0.0,26.0,0.0,37,37,201.03,Chatham County
Census Tract 201.04; Chatham County; North Carolina,5916.0,421.0,41.0,0.0,0.0,284.0,51.0,0.0,45.0,37,37,201.04,Chatham County
Census Tract 201.05; Chatham County; North Carolina,8410.0,424.0,0.0,69.0,60.0,230.0,65.0,0.0,0.0,37,37,201.05,Chatham County
Census Tract 201.07; Chatham County; North Carolina,2684.0,498.0,325.0,26.0,0.0,118.0,29.0,0.0,0.0,37,37,201.07,Chatham County
Census Tract 201.08; Chatham County; North Carolina,1985.0,242.0,38.0,0.0,89.0,104.0,11.0,0.0,0.0,37,37,201.08,Chatham County
Census Tract 202.01; Chatham County; North Carolina,3272.0,355.0,69.0,0.0,108.0,144.0,15.0,19.0,0.0,37,37,202.01,Chatham County
